KEY	UK	EN	DE	FR
Screen/&DialogMainNpcTitle	Головний НПС	Main NPC	Haupt-NSC	Main NPC
Screen/&DialogSavedDescription	Діалог збережений	Dialog Saved	Dialog gespeichert	Dialog Saved
Screen/&DialogSelectionTitle	Оберіть діалог	Select a Dialog	Wähle einen Dialog	Select a Dialog
Screen/&DisabledSlotAutoConfigDescription	Цей слот вимкнено, оскільки його вміст визначається автоматично.	This slot is disabled as its content is determined automatically.	Dieser Platz ist deaktiviert, da der Inhalt automatisch bestimmt wird.	This slot is disabled as its content is determined automatically.
Screen/&DisabledSlotNoneDescription	Ця комірка вимкнена.	This slot is disabled.	Dieser Platz ist deaktiviert.	This slot is disabled.
Screen/&DisabledSlotTwoHandedEquipedDescription	Цей слот вимкнено, оскільки його парний слот оснащений дворушним предметом.	This slot is disabled because its paired slot is equipped with a two-handed item.	Dieser Platz ist deaktiviert, weil sich ein zweihändiger Gegenstand im Nachbarplatz befindet.	This slot is disabled because its paired slot is equipped with a two-handed item.
Screen/&DismissCharacterDescription	Видалити цього персонажа з команди.	Remove this character from the team.	Entferne diesen Charakter aus der Gruppe.	Remove this character from the team.
Screen/&DismissCharacterTitle	Відпустити	Dismiss	Entlassen	Dismiss
Screen/&DomainSpellDescription	Це закляття домену завжди вважається підготовленим. \nВоно не враховується у вашому обмеженні на підготовку заклять.	This domain spell is always considered prepared. \n It does not count towards your spell preparation limit.	Dieser Domänenzauber gilt immer als vorbereitet. \n Er wird bei deiner Grenze für Zaubervorbereitungen nicht mitgezählt.	This domain spell is always considered prepared. \n It does not count towards your spell preparation limit.
Screen/&DomainSpellTitle	Домен	Domain	Domäne	Domain
Screen/&DoneTitle	Готово	Done	Erledigt	Done
Screen/&DragSelectDialogFormat	Тримайте ліву кнопку миші натиснутою та перетягуйте для вибору станів діалогу.	Hold the left mouse button down & drag to select dialog states.	Halte die linke Mausetaste gedrückt und ziehe, um Dialogzustände auszuwählen.	Hold the left mouse button down & drag to select dialog states.
Screen/&DragSelectFormat	Тримайте ліву кнопку миші та перетягуйте для вибору кроків завдання	Hold the left mouse button & drag to select quest steps	Halte die linke Mausetaste gedrückt und ziehe, um Missionsschritte auszuwählen.	Hold the left mouse button & drag to select quest steps
Screen/&DropItemDescription	Відпустити предмет на землю.	Drop the item on the ground.	Lass den Gegenstand auf den Boden fallen.	Drop the item on the ground.
Screen/&DropItemTitle	Викинути	Drop	Fallenlassen	Drop
Screen/&DungeonMasterTitle	[ToRemove] Майстер підземелля	[ToRemove] Dungeon Master	[ToRemove] Dungeon Master	[ToRemove] Dungeon Master
Screen/&EditFlagsGamepadTitle	Редагувати	Edit	Bearbeiten	Edit
Screen/&EditorCampaignSaveDescription	Зберегти цю кампанію користувача на диск ({0})	Save this user campaign to disk ({0})	Speichert diese Benutzerkampagne auf der Festplatte ({0})	Save this user campaign to disk ({0})
Screen/&EditorCaptionCancelButtonDescription	Скасовує вибір поточного елемента	Cancels the selection of the current element	Bricht die Auswahl des aktuellen Elements ab.	Cancels the selection of the current element
Screen/&EditorCaptionCancelButtonTitle	Скасувати	Cancel	Abbrechen	Cancel
Screen/&EditorCaptionCopyButtonDescription	Дублює вибраний елемент	Duplicates the selected element	Dupliziert das ausgewählte Element.	Duplicates the selected element
Screen/&EditorCaptionCopyButtonTitle	Дублювати	Duplicate	Duplizieren	Duplicate
Screen/&EditorCaptionDeleteButtonDescription	Видаляє вибраний елемент	Deletes the selected element	Löscht das ausgewählte Element.	Deletes the selected element
Screen/&EditorCaptionDeleteButtonTitle	Видалити	Delete	Löschen	Delete
Screen/&EditorCaptionMoveButtonDescription	Переміщує цей елемент шляхом перетягування миші	Moves this element by dragging the mouse	Bewegt das Element, durch Ziehen mit der Maus.	Moves this element by dragging the mouse
Screen/&EditorCaptionMoveButtonTitle	Рух	Move	Bewegen	Move
Screen/&EditorCaptionOrientationTitle	Орієнтація	Orientation	Richtung	Orientation
Screen/&EditorCaptionPositionFormat	X: {0}, Y: {1}	X: {0}, Y: {1}	X: {0}, Y: {1}	X: {0}, Y: {1}
Screen/&EditorCaptionPositionTitle	Позиція	Position	Position	Position
Screen/&EditorCaptionRotateButtonDescription	Повертає вибраний елемент на 90° за годинниковою стрілкою	Rotates the selected element 90° clockwise	Dreht das ausgewählte Element um 90° im Uhrzeigersinn.	Rotates the selected element 90° clockwise
Screen/&EditorCaptionRotateButtonTitle	Повернути	Rotate	Drehen	Rotate
Screen/&EditorCaptionXTitle	Х	X	X	X
Screen/&EditorCaptionYTitle	Y	Y	Y	Y
Screen/&EditorCategoryGadgetDescription	Доступні креслення гаджетів	Available Gadget Blueprints	Verfügbare Entwürfe für Vorrichtungen	Available Gadget Blueprints
Screen/&EditorCategoryGadgetTitle	Пристрої	Gadgets	Vorrichtungen	Gadgets
Screen/&EditorCategoryLocationTitle	Місце	Location	Location	Location
Screen/&EditorCategoryPropDescription	Доступні шаблони реквізиту	Available Prop Blueprints	Verfügbare Entwürfe für Dekorationen	Available Prop Blueprints
Screen/&EditorCategoryPropTitle	Реквізит	Props	Dekorationen	Props
Screen/&EditorCategoryRoomDescription	Доступні плани кімнат	Available Room Blueprints	Verfügbare Entwürfe für Räume	Available Room Blueprints
Screen/&EditorCategoryRoomTitle	Кімнати	Rooms	Räume	Rooms
Screen/&EditorCustomDimensionsDescription	Цей пристрій можна налаштувати з користувацькими розмірами. Оберіть свої улюблені значення	This gadget can be set with custom dimensions. Select your preferred valued	Bei dieser Vorrichtung können benutzerdefinierte Maße eingestellt werden. Wähle deine bevorzugten Werte aus.	This gadget can be set with custom dimensions. Select your preferred valued
Screen/&EditorCustomDimensionsHeightTitle	Висота	Height	Höhe	Height
Screen/&EditorCustomDimensionsTitle	Користувацькі розміри	Custom Dimensions	Benutzerdefinierte Abmessungen	Custom Dimensions
Screen/&EditorCustomDimensionsWidthTitle	Ширина	Width	Breite	Width
Screen/&EditorFoldAllButtonDescription	Згорнути всі папки цієї бібліотеки	Collapse all folders of this library	Alle Ordner in dieser Bibliothek einklappen	Collapse all folders of this library
Screen/&EditorFoldAllButtonTitle	Згорнути все	Fold All	Alles einklappen	Fold All
Screen/&EditorGroundHighSuffix	(високий)	(high)	(hoch)	(high)
Screen/&EditorGroundLowSuffix	(низький)	(low)	(niedrig)	(low)
Screen/&EditorLibraryTitle	Бібліотека	Library	Bibliothek	Library
Screen/&EditorLocationAuthorTitle	Автор	Author	Ersteller	Author
Screen/&EditorLocationAuthorVersionTitle	Версія	Version	Version	Version
Screen/&EditorLocationDescriptionTitle	Опис	Description	Beschreibung	Description
Screen/&EditorLocationEnvironmentTitle	Оточення	Environment	Umgebung	Environment
Screen/&EditorLocationMaxCharLevelTitle	Макс. рівень персонажа	Max. Character Level	Max. Charakterstufe	Max. Character Level
Screen/&EditorLocationMinCharLevelTitle	Мін. рівень персонажа	Min. Character Level	Min. Charakterstufe	Min. Character Level
Screen/&EditorLocationMusicTitle	Амбієнтна музика	Ambient Music	Hintergrundmusik	Ambient Music
Screen/&EditorLocationSizeLargeTitle	Великий	Large	Groß	Large
Screen/&EditorLocationSizeMediumTitle	Середній	Medium	Mittelschwer	Medium
Screen/&EditorLocationSizeSmallTitle	Маленький	Small	Klein	Small
Screen/&EditorLocationSizeTitle	Розмір	Size	Größe	Size
Screen/&EditorLocationSwitchDescription	Перейти до цього місця користувача	Switch to this user location	Wechsle zu diesem Benutzerort.	Switch to this user location
Screen/&EditorLocationTitleTitle	Назва	Title	Titel	Title
Screen/&EditorLocationVisualMoodTitle	Візуальний настрій	Visual Mood	Visuelle Stimmung	Visual Mood
Screen/&EditorPlacementGroundHighTitle	Високий ґрунт	GroundHigh	Höherer Boden	GroundHigh
Screen/&EditorPlacementGroundLowTitle	Низький рівень	GroundLow	Niedrigerer Boden	GroundLow
Screen/&EditorPlacementGroundTitle	Земля	Ground	Boden	Ground
Screen/&EditorPlacementInstructionDescription	Цей елемент можна розмістити на наступних типах клітинок: {0}	This element can be placed on the following cell types: {0}	Dieses Element kann auf folgenden Arten von Feldern platziert werden: {0}	This element can be placed on the following cell types: {0}
Screen/&EditorPlacementOpeningHighTitle	Відкриття високо	Opening high	Öffnung Hoch	Opening high
Screen/&EditorPlacementOpeningLowTitle	Відкриття низьке	Opening low	Öffnung Tief	Opening low
Screen/&EditorPlacementOpeningTitle	Відкриття	Opening	Öffnung	Opening
Screen/&EditorPlacementWallTitle	Стіна	Wall	Mauer	Wall
Screen/&EditorPrevisDescription	Попередній перегляд відтворення місця у окремому вікні (скоро)	Previsualize the location rendering in a separate window (coming soon)	Erstellt in einem eigenen Fenster eine Vorschau des Orts, der gerendert wird (bald verfügbar).	Previsualize the location rendering in a separate window (coming soon)
Screen/&EditorPrevisTitle	Попередній перегляд	Preview	Vorschau	Preview
Screen/&EditorQuestAutoStartDescription	Визначає, чи автоматично починається квест при запуску кампанії. Корисно для прихованих або сценарних квестів	Defines whether the quest is automatically started when the campaign is launched. Useful for hidden/scenario quests	Legt fest, ob die Mission beim Kampagnenbeginn automatisch gestartet wird. Nützlich für versteckte Missionen oder Szenariomissionen.	Defines whether the quest is automatically started when the campaign is launched. Useful for hidden/scenario quests
Screen/&EditorQuestAutoStartTitle	Автозапуск	Auto Start	Automatischer Start	Auto Start
Screen/&EditorQuestCategoryTitle	Категорія квесту	Quest Category	Missionskategorie	Quest Category
Screen/&EditorSaveDescription	Зберегти це місце користувача на диску ({0})	Save this user location to disk ({0})	Speichert diesen Benutzerort auf der Festplatte ({0}).	Save this user location to disk ({0})
Screen/&EditorSaveTitle	Зберегти	Save	Speichern	Save
Screen/&EditorSettingsDescription	Редагувати налаштування місця користувача (ім'я, опис тощо)	Edit the user location's settings (name, description, etc.)	Bearbeitet die Einstellungen (Name, Beschreibung etc.) des Benutzerorts.	Edit the user location's settings (name, description, etc.)
Screen/&EditorSettingsTitle	Налаштування	Settings	Einstellungen	Settings
Screen/&EditorTechnicalInfoTitle	Технічна інформація	Technical Info	Technische Informationen	Technical Info
Screen/&EditorUndoDescription	Скасувати останню зміну ({0})	Undo the last modification ({0})	Macht die letzte Modifikation ({0}) rückgängig.	Undo the last modification ({0})
Screen/&EditorUndoTitle	Скасувати	Undo	Rückgängig	Undo
Screen/&EditorUnfoldAllButtonDescription	Відкрити всі папки цієї бібліотеки	Open all folders of this library	Alle Ordner in dieser Bibliothek aufklappen	Open all folders of this library
Screen/&EditorUnfoldAllButtonTitle	Розгорнути все	Unfold All	Alles aufklappen	Unfold All
Screen/&EditorXCoordinateTitle	X	X	X	X
Screen/&EditorYCoordinateTitle	Y	Y	Y	Y
Screen/&EffectFormRollFooterDamageTitle	Збитки	Damage	Schaden	Damage
Screen/&EffectFormRollFooterHealingTitle	Лікування	Healing	Heilung	Healing
Screen/&EncounterAmbushButtonDescription	Атакувати з перевагою раптового нападу.	Attack with the benefit of a surprise round.	Greift an und nutzt die Überraschungsrunde zu Eurem Vorteil.	Attack with the benefit of a surprise round.
Screen/&EncounterAmbushButtonTitle	Засада	Ambush	Hinterhalt	Ambush
Screen/&EncounterAvoidButtonDescription	Уникнути бою зовсім	Avoid the battle altogether	Den Kampf komplett vermeiden.	Avoid the battle altogether
Screen/&EncounterAvoidButtonTitle	Сховатися	Hide	Verstecken	Hide
Screen/&EncounterCombatAwareDescription	Ворожі істоти поблизу, але {0} зумів їх помітити. Що ви зробите?	Hostile creatures are nearby, but {0} has managed to spot them. What will you do?	Feindliche Kreaturen sind in der Nähe, aber {0} konnte sie entdecken. Was tust du?	Hostile creatures are nearby, but {0} has managed to spot them. What will you do?
Screen/&EncounterCombatNoSurpriseDescription	Група натрапила на групу істот. Бій неминучий.	The party has stumbled upon a group of creatures. Combat is inevitable.	Die Gruppe ist auf eine Kreaturenschar getroffen. Ein Kampf ist unausweichlich.	The party has stumbled upon a group of creatures. Combat is inevitable.
Screen/&EncounterCombatSurprisedDescription	Група ворожих істот вдалося вас здивувати!	A group of hostile creatures has managed to surprise you!	Eine Gruppe feindlicher Kreaturen konnte euch überraschen!	A group of hostile creatures has managed to surprise you!
Screen/&EncounterCombatTitle	Бій	Combat Encounter	Kampfbegegnung	Combat Encounter
Screen/&EncounterEventTitle	Подія гри	Game Event	Spielereignis	Game Event
Screen/&EncounterFightButtonDescription	Починає битву проти ворожої групи.	Starts the battle against the enemy group.	Beginnt den Kampf gegen die gegnerische Gruppe.	Starts the battle against the enemy group.
Screen/&EncounterFightButtonTitle	Почати битву	Start Battle	Kampf beginnen	Start Battle
Screen/&EncounterHeroStatusAsleepDescription	{0} спить і не діятиме, поки його не розбудить.	{0} is sleeping and will not act until awoken.	{0} schläft und muss erst geweckt werden, um zu handeln.	{0} is sleeping and will not act until awoken.
Screen/&EncounterHeroStatusAsleepTitle	Спить	Asleep	Schlafend	Asleep
Screen/&EncounterHeroStatusAwareDescription	{0} увідомлений про наближення ворогів.	{0} is aware of the approaching enemies.	{0} weiß, dass Gegner sich nähern.	{0} is aware of the approaching enemies.
Screen/&EncounterHeroStatusAwareTitle	Уважний	Aware	Gewahr	Aware
Screen/&EncounterHeroStatusDeadDescription	{0} був мертвий у кінці битви.	{0} was dead at the end of the battle.	{0} war am Ende des Kampfes tot.	{0} was dead at the end of the battle.
Screen/&EncounterHeroStatusDeadTitle	Померлий	Dead	Tot	Dead
Screen/&EncounterHeroStatusHealthyDescription	{0} був здоровим у кінці битви.	{0} was healthy at the end of the battle.	{0} war am Ende des Kampfes gesund.	{0} was healthy at the end of the battle.
Screen/&EncounterHeroStatusHealthyTitle	Здоровий	Healthy	Gesund	Healthy
Screen/&EncounterHeroStatusSeverelyWoundedDescription	{0} був важко поранений в кінці битви.	{0} was severely wounded at the end of the battle.	{0} war am Ende des Kampfes schwer verwundet.	{0} was severely wounded at the end of the battle.
Screen/&EncounterHeroStatusSeverelyWoundedTitle	Серйозно поранений	Severely Wounded	Schwer verwundet	Severely Wounded
Screen/&EncounterHeroStatusSpotterDescription	{0} помітив наближення ворогів.	{0} has spotted the approaching enemies.	{0} hat herannahende Gegner entdeckt.	{0} has spotted the approaching enemies.
Screen/&EncounterHeroStatusSpotterTitle	Розвідник	Spotter	Aufgeklärt	Spotter
Screen/&EncounterHeroStatusSurprisedDescription	{0} здивувався і не діятиме протягом першого раунду бою.	{0} is surprised and will not act during the first round of the battle.	{0} ist überrascht und wird in der ersten Runde des Kampfes nicht handeln.	{0} is surprised and will not act during the first round of the battle.
Screen/&EncounterHeroStatusSurprisedTitle	Здивований	Surprised	Überrascht	Surprised
Screen/&EncounterHeroStatusUnconsciousDescription	{0} був без свідомості в кінці бою.	{0} was unconscious at the end of the battle.	{0} war am Ende des Kampfes bewusstlos.	{0} was unconscious at the end of the battle.
Screen/&EncounterHeroStatusUnconsciousTitle	Без свідомості	Unconscious	Bewusstlos	Unconscious
Screen/&EncounterHeroStatusWoundedDescription	{0} отримав поранення в кінці битви.	{0} was wounded at the end of the battle.	{0} war am Ende des Kampfes verwundet.	{0} was wounded at the end of the battle.
Screen/&EncounterHeroStatusWoundedTitle	Поранений	Wounded	Verwundet	Wounded
Screen/&EncounterLocationSelectionTitle	Оберіть місце зустрічі	Select an Encounter Location	Wähle einen Begegnungsort	Select an Encounter Location
Screen/&EncounterProceedButtonDescription	Почати взаємодію.	Start the interaction.	Die Interaktion beginnen.	Start the interaction.
Screen/&EncounterProceedButtonTitle	Продовжити	Proceed	Fortfahren	Proceed
Screen/&EncounterSelectionTitle	Оберіть сутичку	Select an Encounter	Wähle eine Begegnung	Select an Encounter
Screen/&EncounterSurpriseHeaderTitle	Результат кидка на несподіванку	Surprise Roll Results	Überraschungswurf-Ergebnisse	Surprise Roll Results
Screen/&EncounterTableSelectionTitle	Виберіть таблицю зустрічей	Select an Encounter Table	Wähle eine Begegnungstabelle	Select an Encounter Table
Screen/&EncumbranceHeavyTitle	Важкий	Heavy	Schwer	Heavy
Screen/&EncumbranceLightTitle	Легке	Light	Leicht	Light
Screen/&EncumbranceNoneTitle	Відсутній	None	Keine	None
Screen/&EncumbranceTitle	Обтяження	Encumbrance	Belastung	Encumbrance
Screen/&EndGameSaveCosmeticName	Завершити кампанію	End Game Campaign	Spielkampagne beenden	End Game Campaign
Screen/&EndTurnDescription	Завершити хід цього персонажа та перейти до наступної істоти.	End this character's turn and move on to the next creature to act.	Beende den Zug dieses Charakters und lass die nächste Kreatur handeln.	End this character's turn and move on to the next creature to act.
Screen/&EndTurnTitle	Завершити хід	End Turn	Zug beenden	End Turn
Screen/&EnemyTurnTitle	Хід ворога	Enemy Turn	Gegnerischer Zug	Enemy Turn
Screen/&EquipmentConfigurationSetupTitle	Перетягніть елементи нижче, щоб змінити їх конфігурацію.	Drag items below to change their configuration.	Ziehe Gegenstände nach unten, um ihre Konfiguration zu ändern.	Drag items below to change their configuration.
Screen/&EquipmentTitle	Снаряження	Equipment	Ausrüstung	Equipment
Screen/&EthnicGroupSelectionTitle	Оберіть походження.	Select an origin.	Wähle einen Ursprung.	Select an origin.
Screen/&ExamineDocumentDescription	Прочитай цей документ.	Read this document.	Lies dieses Dokument.	Read this document.
Screen/&ExamineDocumentTitle	Прочитати	Read	Lesen	Read
Screen/&ExistingClassSelectionTitle	Оберіть існуючий клас для підвищення рівня.	Select an existing class to level up.	Wähle eine existierende Klasse für einen Stufenaufstieg.	Select an existing class to level up.
Screen/&ExpertSkillTooltipSuffix	Ви є експертом у використанні цього навику (додайте свій бонус вміння × 2).	You are an expert at using this skill (add your proficiency bonus x 2).	Du hast Expertise im Umgang mit dieser Fertigkeit (füge deinen Übungsbonus x2 hinzu).	You are an expert at using this skill (add your proficiency bonus x 2).
Screen/&ExpertToolTypeTooltipSuffix	Ви є експертом у використанні цього типу інструменту (додайте ваш бонус вміння x 2).	You are an expert at using this type of tool (add your proficiency bonus x 2).	Du hast Expertise im Umgang mit dieser Art von Werkzeug (füge deinen Übungsbonus x2 hinzu).	You are an expert at using this type of tool (add your proficiency bonus x 2).
Screen/&ExpertiseSuffix	(експерт)	(expert)	(Expertise)	(expert)
Screen/&ExplorationActionsTitle	Дії персонажа	Character Actions	Charakteraktionen	Character Actions
Screen/&FactionQuestTypeDescription	Квест, призначений конкретним угрупуванням	A quest assigned by a specific faction	Eine Mission, die von einer bestimmten Fraktion zugewiesen wurde.	A quest assigned by a specific faction
Screen/&FactionQuestTypeTitle	Завдання фракції	Faction Quest	Fraktionsmission	Faction Quest
Screen/&FactionQuestsListTitle	Квестів фракції	Faction Quests	Fraktionsmissionen	Faction Quests
Screen/&FailedQuestsListTitle	Невиконані квести	Failed Quests	Gescheiterte Missionen	Failed Quests
Screen/&FastTravelInterruptedDescription	Подорож перервано	Travel interrupted	Reise unterbrochen	Travel interrupted
Screen/&FeatAutoSelectButtonTitle	Автовибір	Auto Select	Automatische Auswahl	Auto Select
Screen/&FeatBackButtonTitle	Назад на крок	Back One Step	Einen Schritt zurück	Back One Step
Screen/&FeatureListingProficienciesTitle	Вміння	Proficiencies	Übung	Proficiencies
Screen/&FeatureUnavailableTitle	Недоступно, скоро	Unavailable, coming soon	Noch nicht nutzbar, bald verfügbar	Unavailable, coming soon
Screen/&FlurryOfBlowsModeSelectionDescription	Оберіть ефект техніки відкритої руки для застосування до вашого наступного удару Шквалом ударів:	Select an open hand technique effect to apply to your next Flurry of Blows attack:	Wähle einen Technikeffekt der offenen Hand, der auf den nächsten Angriff deines Schlaghagels angewendet werden soll:	Select an open hand technique effect to apply to your next Flurry of Blows attack:
Screen/&FocusCharacterDescription	Зфокусувати зір на цьому персонажі.	Focus the view on this character.	Fokussiere das Sichtfeld auf diesen Charakter.	Focus the view on this character.
Screen/&ForceLevelUpTitle	Підвищити рівень персонажів	Level Up Your Characters	Führe einen Stufenaufstieg für deine Charaktere durch	Level Up Your Characters
Screen/&ForceLevelUpWaitingForCharactersTitle	Підвищити рівень своїх персонажів	Level Up Your Characters	Führe einen Stufenaufstieg für deine Charaktere durch	Level Up Your Characters
Screen/&ForceLevelUpWaitingForHostTitle	Чекаємо на господаря	Waiting for Host	Warte auf Host	Waiting for Host
Screen/&GadgetTagRestrictionFormat	Ви повинні вибрати гаджети цього типу: {0}Screen/&UserLocationsPublishingLabel	You must select gadgets of this type: {0}	Du musst eine Vorrichtung dieses Typs auswählen: {0}	You must select gadgets of this type: {0}
Screen/&GameContentButtonDescription	Відобразити документ, який деталізує, які ігрові матеріали використовують SRD, а які є оригінальними.	Display the document that details which game content uses the SRD and which is original.	Dokument anzeigen, das angibt, welche Spielinhalte das SRD verwenden und welche original sind.	Display the document that details which game content uses the SRD and which is original.
Screen/&GameContentButtonTitle	Геймплей	Game Content	Spielinhalt	Game Content
Screen/&GameMenuButtonDescription	Відкриває меню гри.	Opens the game menu.	Öffnet das Spielmenü.	Opens the game menu.
Screen/&GameMenuTitle	Меню	Menu	Menü	Menu
Screen/&GamePausedTitle	Пауза	Paused	Pausiert	Paused
Screen/&GamePausedTopDescription	"Натисніть кнопку ""Грати"" або пробіл, щоб продовжити."	"Press the ""Play"" button or space to unpause."	Drücke „Start“ oder die Leertaste, um fortzufahren.	"Press the ""Play"" button or space to unpause."
Screen/&GamePausedTopTitle	Гра призупинена	Game Paused	Spiel pausiert	Game Paused
Screen/&GameSettingsTitle	Налаштування гри	Game Settings	Spieleinstellungen	Game Settings
Screen/&GamepadHintAction2	Змінити/Видалити	Change/Erase	Ändern / Löschen	Change/Erase
Screen/&GamepadHintAction3	Спеціальна дія	Special Action	Spezialaktion	Special Action
Screen/&GamepadHintBack	Назад	Back	Zurück	Back
Screen/&GamepadHintBlueprintMap	Карта	Map	Karte	Map
Screen/&GamepadHintCancel	Скасувати	Cancel	Abbrechen	Cancel
Screen/&GamepadHintClearAll	Очистити все	Clear all	Alles entfernen	Clear all
Screen/&GamepadHintCursorMode	Режим курсора	Cursor Mode	Mausmodus	Cursor Mode
Screen/&GamepadHintCycleLocation	Вибрати місце призначення	Select Destination	Zielort auswählen	Select Destination
Screen/&GamepadHintCycleMapItem	Вибрати елемент карти	Select Map Item	Kartengegenstand auswählen	Select Map Item
Screen/&GamepadHintCycleTarget	Вибрати ціль	Select Target	Ziel auswählen	Select Target
Screen/&GamepadHintDecreaseSpellSlot	Зменшити комірку закляття	Decrease Spell Slot	Zauberplatzgrad verringern	Decrease Spell Slot
Screen/&GamepadHintEngageDetail	Детальний підказка	Detailed Tooltip	Ausführlicher Tooltip	Detailed Tooltip
Screen/&GamepadHintFastForward	Швидкий перемотування	Fast Forward	Überspringen	Fast Forward
Screen/&GamepadHintGameMenu	Головне меню	Game Menu	Spielmenü	Game Menu
Screen/&GamepadHintGamepadSelector	Змінити налаштування	Change Setting	Einstellung ändern	Change Setting
Screen/&GamepadHintIncreaseSpellSlot	Підвищити комірку закляття	Increase Spell Slot	Zauberplatzgrad erhöhen	Increase Spell Slot
Screen/&GamepadHintInspect	Оглянути персонажа	Inspect Character	Charakter untersuchen	Inspect Character
Screen/&GamepadHintInventoryShortcuts	Скороти для обладнання	Equipment Shortcuts	Tastenkürzel für Ausrüstung	Equipment Shortcuts
Screen/&GamepadHintInviteFriend	Запросити друга	Invite Friend	Freund einladen	Invite Friend
Screen/&GamepadHintItemMenu	Меню предметів	Item Menu	Gegenstandsmenü	Item Menu
Screen/&GamepadHintJournal	Щоденник групи	Party Journal	Gruppentagebuch	Party Journal
Screen/&GamepadHintMoveCursor	Перемістити курсор	Move Cursor	Mauszeiger bewegen	Move Cursor
Screen/&GamepadHintMultiplayerPing	Пауза гри (Соло)/Пінг (Мульти)	Game pause (Solo)/Ping (Multi)	Spiel pausieren (Solo)/Ping (Multi)	Game pause (Solo)/Ping (Multi)
Screen/&GamepadHintNavigate	Оглядати	Browse	Durchstöbern	Browse
Screen/&GamepadHintNextCharacter	Наступний персонаж	Next Character	Nächster Charakter	Next Character
Screen/&GamepadHintOvercharge	Перевантаження	Overcharge	Überladen	Overcharge
Screen/&GamepadHintPassTurn	Пропустити хід	Pass Turn	Zug überspringen	Pass Turn
Screen/&GamepadHintPlanarToggle	Режим площин	Planar Mode	Planarer Modus	Planar Mode
Screen/&GamepadHintPreviousCharacter	Попередній персонаж	Previous Character	Vorheriger Charakter	Previous Character
Screen/&GamepadHintRotateCharacter	Повернути персонажа	Rotate Character	Charakter drehen	Rotate Character
Screen/&GamepadHintScrollConsole	Прокрутити консоль	Scroll Console	In Konsole scrollen	Scroll Console
Screen/&GamepadHintSelectAction	Вибрати дію	Select Action	Aktion auswählen	Select Action
Screen/&GamepadHintSelectCharacter	Персонажі	Characters	Charaktere	Characters
Screen/&GamepadHintSelectOption	Швидкий доступ	Quick Access	Schnellzugriff	Quick Access
Screen/&GamepadHintShowInteractions	Показати взаємодію	Show Interactions	Interaktionen anzeigen	Show Interactions
Screen/&GamepadHintSubmit	Вибрати	Select	Auswählen	Select
Screen/&GamepadHintSwitchCharacter	Змінити персонажа	Switch Character	Charakter wechseln	Switch Character
Screen/&GamepadHintTabLeft	Ліва вкладка	Left Tab	Reiter links	Left Tab
Screen/&GamepadHintTabRight	Права вкладка	Right Tab	Reiter rechts	Right Tab
Screen/&GamepadHintUpcast	Підвищення рівня	Upcast	Hochstufen	Upcast
Screen/&GamepadHintValidate	Підтвердити	Validate	Bestätigen	Validate
Screen/&GamepadHintVerticalScroll	Прокручування	Scroll	Scrollen	Scroll
Screen/&GamepadHintViewInteract	Взаємодія	Interact	Interagieren	Interact
Screen/&GamepadHintViewPan	Рух	Move	Bewegen	Move
Screen/&GamepadHintViewRotate	Камера	Camera	Kamera	Camera
Screen/&GamepadHintViewZoom	Збільшення	Zoom	Zoom	Zoom
Screen/&GamepadOptionBlueprintMapTitle	Місцеперебування\nКарта	Location\n  Map	Gebiets-\n  karte	Location\n  Map
Screen/&GamepadOptionInspectTitle	Оглянути\nперсонажа	Inspect\n  Character	Charakter\n  untersuchen	Inspect\n  Character
Screen/&GamepadOptionJournalTitle	Партія \nЖурнал	Party \n  Journal	Gruppen-\n  tagebuch	Party \n  Journal
Screen/&GamepadOptionShortRestTitle	Короткий\nВідпочинок	Short\n  Rest	Kurze\n  Rast	Short\n  Rest
Screen/&GiveItemDescription	Передати цей предмет іншому учаснику групи.	Transfer this item to another party member.	Diesen Gegenstand einem anderen Gruppenmitglied geben.	Transfer this item to another party member.
Screen/&GiveItemTitle	Надати предмет	Give Item	Gegenstand geben	Give Item
Screen/&GroupLeaderDescription	Не використовується	Not used anymore	Wird nicht länger verwendet	Not used anymore
Screen/&HiddenQuestTypeDescription	"Цей тип завдань прихований від гравця, але може бути корисним для управління сценарієм ""під капотом"""	"This type of quest is hidden to the player, but can be useful to drive a scenario ""under the hood"""	Diese Art Mission ist für den Spieler nicht sichtbar, kann aber nützlich sein, um Szenarios „hinter der Bühne“ voranzutreiben.	"This type of quest is hidden to the player, but can be useful to drive a scenario ""under the hood"""
Screen/&HiddenQuestTypeTitle	Схований	Hidden	Versteckt	Hidden
Screen/&HitDiceItemStatusDeadTitle	Мертвий	Dead	Tot	Dead
Screen/&HitDiceItemStatusFullHPTitle	Повні ОЗ	Full HP	Volle TP	Full HP
Screen/&HitDiceItemStatusOutofHDTitle	Порожній	Empty	Leer	Empty
Screen/&HitDiceItemStatusRollTitle	Кинути	Roll	Würfel	Roll
Screen/&HitDiceItemStatusUnconsciousTitle	Без свідомості	Unconscious	Bewusstlos	Unconscious
Screen/&HostIsAnsweringChoiceTitle	{0} обирає відповідь	{0} is choosing an answer	{0} wählt gerade eine Antwort	{0} is choosing an answer
