MainMenu/&StartingLevelRange	{0}-{1}
Rules/&ConditionSorcererChildRiftDeflectionTitle	Відхилення розколу
Rules/&ConditionSorcererChildRiftDeflectionDescription	Супротивники мають перешкоду при кидках на атаку проти тебе, а ти отримуєш перевагу при кидках рятунку до початку свого наступного ходу
Rules/&RateHitPointsFormatTitle	жертвувати максимальними очками здоров'я
Spell/&CircleOfDeathTitle	Коло смерті
Spell/&CircleOfDeathDescription	Сфера негативної енергії завдає некротічного ушкодження від точки, яку ви оберете
Spell/&FreezingSphereTitle	Морозна сфера
Spell/&FreezingSphereDescription	Кидай великий шар холодної енергії, який вибухає при зіткненні
Spell/&TrueSeeingTitle	Справжній зір
Spell/&TrueSeeingDescription	Істота, яку ви торкаєтесь, отримує справжній зір на одну годину
Tooltip/&IronManModeDescription	У режимі Залізної людини можна завантажити лише останнє збереження, і всі збереження будуть знищені, якщо загін буде переможений.\nЦю опцію не можна змінити під час гри.
Modal/&DefeatIronManAdditionalDescription	Твоє пригода закінчується тут. Зібріть свої сили і знайдіть мужність, щоб знову вистояти в режимі Залізної людини!
Spell/&BladeBarrierTitle	Бар'єр клинків
Spell/&BladeBarrierWallTitle	Бар'єр клинків (стіна)
Spell/&BladeBarrierRingTitle	Бар'єр клинків (кільце)
Spell/&BladeBarrierDescription	Створює стіну гострих як бритви лез, які завдають 6d10 рубаних ушкоджень кожному, хто перетинає її
Spell/&ChainLightningTitle	Ланцюгова блискавка
Spell/&DisintegrateTitle	Розсіяння
Spell/&DisintegrateDescription	Завдає масивних ушкоджень від сили цільовій істоті, яка може бути розсіяна, якщо її очки здоров'я зменшуються до 0
Spell/&EyebiteTitle	Очний укус
Spell/&EyebiteDescription	Твої очі набувають певної властивості, яка може бути спрямована на істоту кожного ходу
Spell/&EyebiteAsleepTitle	Очний укус (Сплячий)
Spell/&EyebiteAsleepDescription	Істота засинає, якщо її не потрясуть або не поранять
Spell/&EyebitePanickedTitle	Очний укус (Панічно)
Spell/&EyebitePanickedDescription	Істота стає переляканою і повинна втікати від тебе
Spell/&EyebiteSickenedTitle	Окоукус (Хворобливий)
Spell/&EyebiteSickenedDescription	Істота має перешкоду при атаках, поки не вдасться кидок рятунку на СПР.
Spell/&GlobeOfInvulnerabilityTitle	Сфера невразливості
Spell/&GlobeOfInvulnerabilityDescription	Сфера навколо тебе запобігає накладенню будь-якого закляття до 5 рівня на когось всередині неї.
Spell/&HarmTitle	Збиток
Spell/&HarmDescription	Заподіює руйнівні некротічні ушкодження та відповідно зменшує максимальні очки здоров'я. Не може знизити ціль нижче 1 очка здоров'я
Spell/&HealTitle	Лікування
Spell/&HealDescription	Відновлює 70 очок здоров'я та також видаляє сліпоту і хвороби
Spell/&HeroesFeastTitle	Банкет героїв
Spell/&HeroesFeastDescription	Викликає банкет, який лікує більшість недуг і надає імунітет до отрути та страху. Надає перевагу при кидках рятунку на Мудрість та збільшує максимальні очки здоров'я
Spell/&SunbeamTitle	Сонячний промінь
Spell/&SunbeamDescription	Ви викликаєте лінію сяйва, яка може спалити та осліпити істот на лінії дії; нежить і слизі робити кидки рятунку з перешкодою. Промінь можна перенацілювати кожного ходу
Rules/&ConditionDisintegratedTitle	Розсіяння
Rules/&ConditionDisintegratedDescription	Істота потребує ефекту Воскресіння або подібного, щоб ожити
Modal/&CharacterReviveModalDisintegratedFormat	Цей варіант не можна застосувати до {0}, оскільки він/вона розсіяний(а)
Rules/&ConditionDiseasedHarmTitle	Пошкоджений
Rules/&ConditionDiseasedHarmDescription	Максимальні очки здоров'я зменшені на годину або доти, поки ефект, який лікує хвороби, не вплине на ціль
Rules/&AlterationFormFeastFormatSingle	Загін влаштовує бенкет на {0} годину
Rules/&AlterationFormFeastFormatPlural	Загін влаштовує бенкет на {0} годин(и)
Rules/&ConditionHeroesFeastTitle	Сито
Rules/&ConditionHeroesFeastDescription	Імунітет до отрути та страху, перевага при кидках рятунку на Мудрість і збільшення поточних та максимальних очок здоров'я на 10
Tooltip/&AdvancementGainAdditionalSubtargetMultipleFormat	{0} додаткові цілі
Tooltip/&AdvancementGainAdditionalSubtargetSingleFormat	{0} додаткова ціль
Rules/&ConditionEyebiteSickenedTitle	Хворобливий
Rules/&ConditionEyebiteSickenedDescription	Перешкода при кидках атаки та перевірках характеристик
Rules/&ConditionFrightenedEyebitePanickedTitle	Паніка
Rules/&ConditionFrightenedEyebitePanickedDescription	Повинна втікати від джерела ефекту
Rules/&ConditionHeroismDescription	Не може бути переляканою і відновлює тимчасові очки здоров'я кожного ходу
Race/&HumanSurName14Title	Гектор
Subclass/&PathBerserkerDescription	Шлях берсерка — це шлях нестримної лютості, змоченої кров'ю. Коли ти впадаєш у лють берсерка, ти захоплюєшся хаосом битви, не турбуючись про своє здоров'я чи благополуччя.
Subclass/&PathBerserkerTitle	Шлях берсерка
Subclass/&PathMagebaneDescription	Слідовники цього шляху розвинули глибоку ненависть до магії та тих, хто її використовує. Для них фізична сила — єдиний гідний шлях. Вони зневажають і не довіряють магії та тим, хто її використовує.
Subclass/&PathMagebaneTitle	Шлях Магозруйнівника
Subclass/&PathStoneDescription	Барбари, які слідують цьому шляху, черпають силу з своєї зв'язку з каменем. Вони відомі своєю наполегливістю. Вони ніколи не здаються перед лицем труднощів і процвітають у ворожому середовищі.
Subclass/&PathStoneTitle	Шлях Каменюки
Attribute/&RagePointsDescription	Визначає, скільки разів ви можете почати лютувати.
Attribute/&RagePointsTitle	Очки люті
Attribute/&RageDamageDescription	Додатковий урон, який ви завдаєте своїми ближніми атаками.
Attribute/&RageDamageTitle	Урон люті
Rules/&ConditionRagingTitle	Лютує
Rules/&RateRagePointsFormatTitle	Очки люті
Subclass/&CircleLandDescription	Коло Землі складається з містиків і мудреців, які зберігають давнє знання Старого Віру. Як член цього кола, твоя магія впливає на землю, де ти був ініційований у таємничі ритуали кола.
Subclass/&CircleLandTitle	Коло Землі
Subclass/&CircleKindredDescription	На початку часу існувала гармонія між тваринами та істотами, що мають свідомість. Деякі з них навіть створили незламне зв'язок, об'єднавши два розуми й душі в двох тілах, щоб тіла поділяли цей зв'язок. Цей давній зв'язок зберігається в Колі Родинних Духів — ордені друїдів, які зберігають це священне зв'язок.
Subclass/&CircleKindredTitle	Коло родинних духів
Subclass/&CircleWindsDescription	Друїди цього кола черпають силу з вітрів. Коли бушував Катаклізм, зв'язок друїдів із природою ослаб. Але не для Кола Вітрів. Вони відчували струми мани, які несли вітрі, і через них — зв'язок із природою. Завдяки цьому вони змогли захистити природу від найгірших наслідків Катаклізму.
Subclass/&CircleWindsTitle	Коло Вітрів
Rules/&DurationHourHalfClassLevelFormat	½ рівень класу (години)
Tooltip/&ShapeChangeFormSingleChoiceFormat	Змінює вашу форму на:
Tooltip/&ShapeChangeFormRandomFromListFormat	Вибирає випадково одну з цих форм:
Tooltip/&ShapeChangeFormFreeListSelectionFormat	Оберіть одну з цих форм:
Tooltip/&ShapeChangeFormClassLevelListSelectionFormat	Оберіть одну з цих форм, якщо рівень класу персонажа достатній:
Tooltip/&ShapeChangeFormCreatureLevelFormat	Рівень {0}: {1}
Tooltip/&TagShapeChangeTitle	Зміна форми
Tooltip/&TagArcaneFocusTitle	Арканова фокусування
Tooltip/&TagDivineFocusTitle	Божественний фокус
Tooltip/&TagDruidicFocusTitle	Фокус друїда
Rules/&ConditionSpiritBearTitle	Зв'язок з духом ведмедя
Rules/&ConditionSpiritBearDescription	+1 ОЗ на рівень
Rules/&ConditionSpiritWolfTitle	Зв'язок з духом вовка
Rules/&ConditionSpiritWolfDescription	+1 КЗ
Rules/&ConditionSpiritApeTitle	Зв'язок із духом мавпи
Rules/&ConditionSpiritApeDescription	Вміння у кидках рятунку на Ловкість
Rules/&ConditionSpiritViperTitle	Зв'язок із духом гадюки
Rules/&ConditionSpiritViperDescription	+1 рух клітинкою
Rules/&ConditionSpiritSpiderTitle	Зв'язок з духом павука
Rules/&ConditionSpiritSpiderDescription	Плазунство павуків
Rules/&ConditionSpiritEagleTitle	Зв'язок з духом орла
Rules/&ConditionSpiritEagleDescription	Ініціатива +3
Spell/&ProduceFlameTitle	Створити полум'я
Spell/&ProduceFlameDescription	Створює мрякаючий вогонь у твоїй руці, який випромінює світло або може бути кинутий, щоб завдати вогневого ушкодження.
Spell/&ProduceFlameHoldTitle	Тримати полум'я
Spell/&ProduceFlameHoldDescription	Тримай полум'я в вільному слоті руки, щоб освітлити 2 клітинки яскравого світла + 2 клітинки приглушеного світла.
Rules/&EffectTargetFreeSlotTitle	Вільний слот
Spell/&ProduceFlameHurlTitle	Кинути полум'я
Spell/&ProduceFlameHurlDescription	Кидай полум'я за допомогою закляття на відстань, щоб завдати вогняної шкоди.
Spell/&ShillelaghTitle	Шілелаґ
Spell/&ShillelaghDescription	Створює чарівну палицю, чиї атаки є чарівними та використовують вашу здібність до накладання заклять замість сили.
Spell/&HeatMetalTitle	Нагрівання металу
Spell/&HeatMetalDescription	Спричиняє, щоб металевий обладунок, який носить істота-ціль, розжарювався дочервоного кольору, завдаючи вогняної шкоди та перешкоду при кидках атаки та випробуваннях здібностей. Шкода може повторюватися кожен хід за допомогою бонусної дії.
Rules/&ConditionHeatMetalDescription	Перешкода для кидків атак і перевірок характеристик, а також можливість отримати додатковий вогняний урон.
Spell/&MoonBeamTitle	Промінь місячного світла
Spell/&MoonBeamDescription	Створює вертикальний промінь місячного світла, який завдає блискучого урону. Істоти-зміни форми мають перешкоду для кидка рятунку.
Spell/&SpikeGrowthTitle	Розростання колючок
Spell/&SpikeGrowthDescription	Зробить територію важкопрохідною та завдаватиме урон за кожну клітинку руху.
Spell/&CallLightningTitle	Викликати блискавку
Spell/&CallLightningDescription	Створює хмарну бурю, з якої можна викликати вертикальний удар блискавки, щоб влучити у цілі, завдаючи 3D10 ушкодження від блискавки. Ще один удар можна повторити кожного ходу, використовуючи дію.
Spell/&ConjureFeyTitle	Викликати фею
Spell/&ConjureFeyDescription	Викликає істоту з фей показником небезпеки 1 до 6, щоб воякувати поруч із тобою. Якщо ти втрачаєш концентрацію, істота залишається, але стає ворожою.
Spell/&WallOfThornsTitle	Стіна з шипів
Spell/&WallOfThornsDescription	Створює стіну з міцних, як голки колючок, яка завдає шкоди і сповільнює кожну істоту в ній.
Spell/&WallOfThornsLineTitle	Стіна з колючок (лінія)
Spell/&WallOfThornsRingTitle	Стіна з колючок (кільце)
Tooltip/&TagConjuredTitle	Зачарований
Tooltip/&AdvancementGainAdditionalWeaponDieMultipleFormat	{0} кубики шкоди від зброї
Tooltip/&AdvancementGainAdditionalWeaponDieSingleFormat	{0} кубик шкоди зброї
Spell/&VenomousSpikeTitle	Отруйний шип
Spell/&VenomousSpikeDescription	Костяний шип, який пронизує і отруює свою ціль.
Race/&HalfOrcTitle	Піворк
Race/&HalfOrcDescription	Нащадки людей і орків, піворки часто мають історію насильства замість романтики. Відкинуті сім'ями обох батьків, вони зазвичай покладаються на силу, щоб пробиватися в житті.
Race/&HalfOrcMaleName1Title	Гутрок
Race/&HalfOrcMaleName2Title	Хурк
Race/&HalfOrcMaleName3Title	Калибан
Race/&HalfOrcMaleName4Title	Едрок
Race/&HalfOrcMaleName5Title	Орак
Race/&HalfOrcMaleName6Title	Брак
Race/&HalfOrcMaleName7Title	Паррек
Race/&HalfOrcMaleName8Title	Дарак
Race/&HalfOrcMaleName9Title	Ядек
Race/&HalfOrcMaleName10Title	Кран
Race/&HalfOrcFemaleName1Title	Калія
Race/&HalfOrcFemaleName2Title	Ера
Race/&HalfOrcFemaleName3Title	Гестра
Race/&HalfOrcFemaleName4Title	Карра
Race/&HalfOrcFemaleName5Title	Турра
Race/&HalfOrcFemaleName6Title	Іла
Race/&HalfOrcFemaleName7Title	Трека
Race/&HalfOrcFemaleName8Title	Хада
Race/&HalfOrcFemaleName9Title	Пріка
Race/&HalfOrcFemaleName10Title	Дарра
Rules/&ConditionShapeChangedTitle	Змінена форма
NPC/&Guard_Captain_Title	Капітан гвардії
NPC/&Guard_Captain_Description	Офіцер охорони комплексу.
NPC/&Guard_Elite_Title	Елітний гвардієць
NPC/&Guard_Elite_Description	Гвардієць вищої якості.
NPC/&Guard_Recruit_Title	Стражник
NPC/&Guard_Recruit_Description	Стражник.
NPC/&Guard_Trainer_Title	Тренер стражників
NPC/&Guard_Trainer_Description	Кваліфікований тренер, який служить охоронцям комплексу.
NPC/&Guard_Watcher_Title	Стражник-розвідник
NPC/&Guard_Watcher_Description	Сторожовий пост, що служить комплексу.
NPC/&Mana_Crafter_Title	Крафтсмен мани
NPC/&Mana_Scholar_Title	Вчений мани
NPC/&Mana_Scientist_Title	Науковець мани
Modal/&SpellSlotRecoveryTitle	Відновлення комірок закляття
Modal/&SpellSlotRecoveryDescription	Оберіть витрачені комірки закляття для відновлення:
Modal/&SpellSlotCapitalFormat	Загальний капітал: {0}
Modal/&SpellSlotCapitalDescription	Ваш капітал відновлення визначається половиною вашого рівня заклинача, округлено вгору. Кожна відновлена комірка закляття коштує капіталу відновлення, рівного її рівню закляття: наприклад, комірка 3-го рівня коштує 3 очки відновлення.
Modal/&SpellSlotRecoverLevelButtonTitle	Відновити ({0})
Modal/&SpellSlotRecoverLevelButtonDescription	Відновіть комірку закляття цього рівня за вартістю {0} від загального капіталу.
Modal/&SpellSlotCancelButtonTitle	Скасувати
Modal/&SpellSlotCancelButtonDescription	Скасовує відновлення комірок закляття. Не витрачаються очки відновлення.
Modal/&SpellSlotClearButtonTitle	Скинути
Modal/&SpellSlotClearButtonDescription	Очищує всі відновлені комірки закляття, щоб поновити процес вибору.
Modal/&SpellSlotAutoButtonTitle	Авто
Modal/&SpellSlotAutoButtonDescription	Автоматично вибирає комірки закляття для відновлення. Ви можете переглянути автоматичні вибори перед підтвердженням.
Modal/&SpellSlotRecoverButtonTitle	Відновити
Modal/&SpellSlotRecoverButtonDescription	Підтвердьте, щоб відновити вибрані комірки закляття.
Spell/&ConjureMinorElementalsWindSnake	Ви призиваєте одну Вітряну змію (показник небезпеки 2)
Spell/&ConjureMinorElementalsFireJesters	Ви призиваєте двох вогняних божевільних (показник небезпеки 1)
Spell/&ConjureMinorElementalsSkarnGhoul	Ви викликаєте одного Скарн-Гула (показник небезпеки 2)
NPC/&NPC_Auroc	Аурок
NPC/&NPC_Lorson	Лорсон
NPC/&NPC_Sima_Temple	Сіма Храм
NPC/&NPC_Ellaria_Anfarel	Елларія Анфарел
NPC/&NPC_Renno_Highwater	Ренно Хайвотер
NPC/&NPC_Store_Reya	Церковні послуги
Rules/&ConditionMindControlledByCasterDescription	Цю істоту контролює той, хто накладає закляття, яке її викликало.
Rules/&ConditionRagingDescription	Бороться з первісною жорстокістю, ти отримуєш додатковий урон і опір.
Rules/&ProficiencyBonusDoubleFormat	+ Бонус вміння x2
Rules/&ConditionGuidingWindsDescription	Наступний удар по цілі має перевагу.
Rules/&ConditionRecklessTitle	Безрозсудність
Rules/&ConditionRecklessDescription	Істота виконує ближні атаки з перевагою під час свого ходу.
Rules/&ConditionRecklessVulnerabilityTitle	Вразливість безрозсудності
Tooltip/&LockedContentDescription	Цей елемент заблоковано, оскільки у вас немає відповідного контенту. Замість нього буде використано заміну, коли ви перевірите цю панель.
Rules/&ConditionRecklessVulnerabilityDescription	Атаки проти істоти мають перевагу до початку її наступного ходу.
Spell/&ConjureFeyDryad_Title	Викликати фейрі - Дріада
Spell/&ConjureFeyWolf_Title	Викликати фейрі - Вовк
Spell/&ConjureFeyHag_Title	Викликати фейрі - Зелена Ведьма
Spell/&ConjureFeyBear_Title	Викликати фейрі - Ведмідь
Spell/&ConjureFeyApe_Title	Викликати фею - Мавпу
Spell/&ConjureFeyEagle_Title	Викликати фею - Орла
NPC/&NPC_Marches_01_Title	Лорд Гаммонд
NPC/&NPC_Marches_02_Title	Гелія Світолез
NPC/&NPC_Marches_03_Title	Лейрін Кітолапка
NPC/&NPC_Marches_04_Title	Крім Сонячний вітрил
Campaign/&DLC1_Introduction_1	Поки Князівство Масгарт готується до війни, бізнес процвітає в Прикордонних землях.
Campaign/&DLC1_Introduction_2	Чим більше агентів Ради Спадщини подорожують до Копаранна, тим більша територія торгівлі Галара Золотоязичного і його прибутки зростають.
Campaign/&DLC1_Introduction_3	Головний торговець найняв пригодників, щоб супроводжувати його каравану.
Campaign/&DLC1_Journal_Start	Одного дня, під час таборування в горах, до них приєднується група поранених мандрівників…
Campaign/&DLC1_Title	Загублена долина
Campaign/&DLC1_Description	Поки Князівство Масгарт готується до війни, пригодники відкривають місця в Пустелях, які століттями залишалися неторканими.
Tooltip/&MetamagicVariableCostSpellLevelDescription	Вартість залежить від рівня закляття.
NPC/&NPC_Valley_Telerien_Purevoice_Title	Телерієн Чистий Голос
NPC/&NPC_Valley_Samko_Flint_Title	Самко Кремень
Modal/&MultiplayerRoomCreationErrorTitle	Помилка створення кімнати
Modal/&MultiplayerRoomCreationErrorDuplicateDescription	Кімната з такою назвою вже існує. Спробуйте іншу.
Modal/&MultiplayerRoomCreationErrorUnknownDescriptionFormat	Не вдалося створити кімнату: код {0}.
Modal/&MultiplayerConnexionErrorTitle	Помилка підключення
Modal/&MultiplayerConnexionErrorDescription	Не вдалося підключитися до сервісів багатокористувацької гри Photon. Переконайтеся, що у вас стабільне з'єднання, і спробуйте ще раз.
Modal/&MultiplayerRoomJoinErrorTitle	Не вдалося приєднатися до кімнати
Modal/&MultiplayerRoomJoinErrorFullDescription	Кімната заповнена.
Modal/&MultiplayerRoomJoinErrorClosedDescription	Кімната закрита.
Modal/&MultiplayerRoomJoinErrorInexistantDescription	Кімнати не існує.
Modal/&MultiplayerRoomJoinErrorUnknownDescriptionFormat	Не вдалося приєднатися до кімнати: код {0}.
NPC/&NPC_Forge_Hasdrubal_Title	Газдрубал
NPC/&NPC_Forge_Ravener_Title	Розорювач
NPC/&NPC_Forge_Charmer_Title	Чарівник
NPC/&NPC_Forge_Cook_Title	Бадрі
NPC/&NPC_Swamp_HillGiant_Title	Руган
NPC/&NPC_Swamp_Apprentice_Title	Лісантір
NPC/&NPC_ThePeople_Henrik	Генрік Червона Рука
NPC/&NPC_ThePeople_Rose	Роза Легкий Вітер
NPC/&NPC_ThePeople_Reya	Рея Шильдберг
NPC/&NPC_ThePeople_Karelia	Карелія Сніжна Лисиця
NPC/&NPC_Orenetis	Оренетіс
NPC/&NPC_Orenetis_Malariel	Маларіель Брогард
NPC/&NPC_MarinVing	Марін Вінг
NPC/&NPC_VandoKlarn	Вандо Кларн
NPC/&NPC_Mask_CafrainShadow	Кафрейн Тінь
NPC/&NPC_Orenetis_Finaliel	Фіналіель Остроголовий
NPC/&NPC_DLC_City_Guard_Title	Городянський охоронець
NPC/&NPC_DLC_City_Guard_Description	Високій ельф-охоронець, озброєний гербом Оренетіса.
NPC/&NPC_DLC1_Anfarel_Noble	Еладін Анфарел
NPC/&NPC_DLC1_ThePeople_Tortured	В'язень
NPC/&NPC_Forge_Escorted_01	Бадрі
NPC/&NPC_Forge_Escorted_02	Герта
NPC/&NPC_Tuznut_Title	Тузнан Анфарел
NPC/&NPC_Tuznut_Description	Пригодник без великого досвіду.
NPC/&NPC_Forge_Guard_Title	Страж
NPC/&NPC_Forge_Guard_Description	Типовий охоронець табору Кузні.
NPC/&NPC_Forge_Charmer_Description	Член табору Кузні.
NPC/&NPC_Forge_Hasdrubal_Description	Лідер Кузні.
NPC/&NPC_Forge_Ravener_Description	Головний мисливець Кузні.
NPC/&NPC_Forge_Cook_Description	Головний кухар Кузні.
NPC/&NPC_Forge_Merchant_Description	Купець табору Кузні.
NPC/&NPC_Forge_Escorted_01_Description	Бадрі, посланець Кузні.
NPC/&NPC_Forge_Escorted_02_Description	Герта, тілоохоронець Кузні.
NPC/&NPC_Forge_Merchant_Title	Ханно Брудопівець
NPC/&NPC_Swamp_HillGiant_Description	Дружній гігант.
NPC/&NPC_Swamp_Apprentice_Description	Дивний на вигляд ельф-чарівник.
NPC/&DLC1_NPC_Jakson_Title	Ганнік
NPC/&DLC1_NPC_Jakson_Description	Ганнік — популярний музикант у столиці.
NPC/&Mana_Scholar_Description	Цей ельф виглядає точно як Оренетіс…
Modal/&MultiplayerRoomJoinErrorNotFoundDescription	Кімнату не вдалося знайти. Перевірте назву та спробуйте ще раз.
Modal/&MultiplayerRoomJoinErrorWrongPasswordDescription	Пароль невірний.
NPC/&Sitinero_Title	Сітінеро
NPC/&DLC1_NPC_Marin_Ving	Марин Вінг
NPC/&DLC1_NPC_Vando_Klarn	Вандо Кларн
Encounter/&CR3_Woodland_Creatures_Title	Істоти лісу
Encounter/&CR3_Woodland_Creatures_Description	Дикі тварини, спонукані голодом або територіальним інстинктом.
Encounter/&CR3_GiantCrows_Title	Гігантські ворони
Encounter/&CR3_GiantCrows_Description	Ці величезні падальні птахи занадто голодні, щоб чекати вашої смерті.
Encounter/&CR3_AgressiveGorillas_Title	Агресивні горили
Encounter/&CR3_AgressiveGorillas_Description	Ці тварини з вираженим територіальним інстинктом не є рідкістю в долині.
Encounter/&CR4_BerserkerAndBeasts_Title	Божевільний володар звірів
Encounter/&CR4_BerserkerAndBeasts_Description	Божевільний володар звірів і його улюбленці полюють!
Encounter/&CR4_GiantBettles_Title	Гігантські жуки
Encounter/&CR4_GiantBettles_Description	Занадто великі комахи - і, звичайно, голодні.
Encounter/&CR4_MutantHorde_Title	Горда мутантів
Encounter/&CR4_MutantHorde_Description	Група місцевих звірів, серед яких деякі дивні, неестетичні особи.
Encounter/&CR4_TigerDrakes_Title	Тигрові драки
Encounter/&CR4_TigerDrakes_Description	Група літаючих шкідників.
Encounter/&CR4_Werewolf_Title	Вовкулака та улюбленець
Encounter/&CR4_Werewolf_Description	Вовкулака в людській формі та його улюбленець.
Encounter/&CR4_MummyAndPawnsTitle	Мумія та її слуги
Encounter/&CR4_MummyAndPawnsDescription	Блукаюча мумія з своїми послідовниками.
Encounter/&CR5_OrcsBear_Title	Орки та ведмідь
Encounter/&CR5_OrcsBear_Description	Декілька оркських берсерків і їх тотемний звір.
Encounter/&CR5_Mummies_Title	Мумії
Encounter/&CR5_Mummies_Description	Кілька мандрівних мумій.
Encounter/&CR5_UndeadHorde_Title	Орда нежиті
Encounter/&CR5_UndeadHorde_Description	Різноманітна група нежиті, що шукає жертв.
NPC/&DLC1_NPC_CityGuard_Captain_Sharp	Лейтенант Шарпі
NPC/&DLC1_NPC_Nobleman_ThePeople03_Title	Дворянин
NPC/&DLC1_NPC_Nobleman_ThePeople03_Description	П'яний хуліган
NPC/&NPC_Red	Червоний
Race/&HalfOrcFemaleName20Title	Прека
Race/&HalfOrcMaleName20Title	Брек
NPC/&NPC_Valley_Telerien_Purevoice_Speak	Квартирмейстер кузні
NPC/&Prisoner_Title	В'язень
NPC/&NPC_DLC_Armorer	Гейл Хант
NPC/&NPC_Dominion_Soldier_Title	Солдат Домініону
NPC/&NPC_Dominion_Soldier_Description	Боєць військових сил Домініону.
NPC/&NPC_Dominion_Archer_Title	Лучник Домініону
NPC/&NPC_Dominion_Archer_Description	Лучник у військових силах Домініону.
NPC/&NPC_Dominion_Arcanist_Title	Арканіст Домініону
NPC/&NPC_Dominion_Arcanist_Description	Боєвий маг у військових силах Домініону.
NPC/&NPC_Dominion_Praetorian_Title	Праеторіанець Домініону
NPC/&NPC_Dominion_Praetorian_Description	Елітний воїн з особистої охорони Лорда-протектора.
NPC/&NPC_Rebellion_Blue	Блакитний
NPC/&NPC_Rebellion_Blue_Description	Переговорниця повстання
NPC/&NPC_Dominion_Rookie_Title	Новобранець домініону
NPC/&NPC_Dominion_Rookie_Description	Молодий і недосвідчений боєць, що служить Домініону.
Rules/&ConditionDreadfulGlareImmunityTitle	Імунітет до жахливого погляду мумій
Rules/&ConditionDreadfulGlareImmunityDescription	Ви імунітні до жахливого погляду мумій та лордів-мумій протягом 24 годин.
Rules/&ConditionNegativeEnergyTitle	Доткнений негативною енергією
Rules/&ConditionNegativeEnergyDescription	Не може відновлювати очки здоров'я.
Modal/&MultiplayerDisconnectedTitle	Не вдається підключитися до Photon
Modal/&MultiplayerDisconnectedDescription	На жаль, зараз недоступний Photon Cloud. Перевірте своє інтернет-підключення та спробуйте ще раз пізніше.
Modal/&MultiplayerDisconnectedReturnToMenuDescription	На жаль, Photon Cloud зараз недоступний. Ви можете продовжити гру в офлайн-режимі або повернутися до головного меню та спробувати ще раз пізніше.
Encounter/&DLC_CR4_MinorElementals_Description	Декілька повітряних змій на полюванні.
Encounter/&DLC_CR4_MinorElementals_Title	Невеликі повітряні елементалі
Encounter/&DLC_CR1_BlackBears_Description	Декілька розлючених чорних ведмедів.
Encounter/&DLC_CR1_BlackBears_Title	Чорний ведмідь
Encounter/&DLC_CR3_BrownBears_Description	Самотній старий ведмідь.
Encounter/&DLC_CR3_BrownBears_Title	Бурі ведмеді
Encounter/&DLC_CR3_AngryBears_Description	Група розлючених ведмедів.
Encounter/&DLC_CR3_AngryBears_Title	Розлючені ведмеді
Encounter/&DLC_CR5_HunterAndBearPet_Description	Самотній мисливець і його улюблений ведмідь.
Encounter/&DLC_CR5_HunterAndBearPet_Title	Ловець і ведмідь
Encounter/&DLC_CR6_HunterAndDireWolfPet_Description	Самотній ловець та його улюблений дикий вовк.
Encounter/&DLC_CR6_HunterAndDireWolfPet_Title	Ловець і Дикий Вовк
Encounter/&DLC_CR6_AngryFeys_Description	Кілька дріад, включаючи деяких дуже дивних.
Encounter/&DLC_CR6_AngryFeys_Title	Люті феї
Encounter/&DLC_CR3_WildApes_Description	Група агресивних мавп.
Encounter/&DLC_CR3_WildApes_Title	Дикі мавпи
Encounter/&DLC_CR10_ApeKing_Description	Невіровий гігантський мавпа та його супутники.
Encounter/&DLC_CR10_ApeKing_Title	Король мавп
Encounter/&DLC_CR3_Fliers_Description	Група отруйних літаючих істот.
Encounter/&DLC_CR3_Fliers_Title	Літючі
Encounter/&DLC_CR6_PoisonousPests_Description	Зграя літаючих і повзучих монстрів.
Encounter/&DLC_CR6_PoisonousPests_Title	Отруйні шкідники
Encounter/&DLC_CR6_FlyingArmada_Description	Тріо небезпечних тигрових драконів.
Encounter/&DLC_CR6_FlyingArmada_Title	Літаюча армія
Encounter/&DLC_CR3_AngryDryads_Description	Група дріад, готових захищати свою територію.
Encounter/&DLC_CR3_AngryDryads_Title	Розлючені дріади
Encounter/&DLC_CR3_CreepingPests_Description	Купа жахливих, повзучих істот.
Encounter/&DLC_CR3_CreepingPests_Title	Повзучі шкідники
Encounter/&DLC_CR6_GiantBeetles_Description	Група комах, особливо великих за розміром.
Encounter/&DLC_CR6_GiantBeetles_Title	Гігантські жуки
Encounter/&DLC_CR2_EightLeggedFreaks_Description	Павуки, і ще більше павуків.
Encounter/&DLC_CR2_EightLeggedFreaks_Title	Восминіжки
Encounter/&DLC_CR5_CrimsonSpider_Description	Жахливий червоний павук полює на здобич.
Encounter/&DLC_CR5_CrimsonSpider_Title	Червоний павук
Encounter/&DLC_CR10_CrimsonSpiders_Description	Декілька смертельно небезпечних червоних павуків.
Encounter/&DLC_CR10_CrimsonSpiders_Title	Червоні павуки
Encounter/&DLC_CR14_CrimsonInvasion_Description	Жахливий червоний павук і його огидне потомство.
Encounter/&DLC_CR14_CrimsonInvasion_Title	Червоне вторгнення
Encounter/&DLC_CR10_MutantDryads_Description	Група дріад під проводом дивних індивідів.
Encounter/&DLC_CR10_MutantDryads_Title	Мутантні Дріади
Encounter/&DLC_CR5_WeirdDryad_Description	Декілька дивних дріад, які захищають свій дім.
Encounter/&DLC_CR5_WeirdDryad_Title	Дивні Дріади
Encounter/&DLC_CR5_Werebear_Description	Самотній лікантроп у своїй улюбленій формі.
Encounter/&DLC_CR5_Werebear_Title	Вервольф
Encounter/&DLC_CR4_BadlandsBear_Description	Смертоносний ведмідь, який пристосувався до Пустелю.
